2014年10月16日 外資及陸資買賣超彙總表 (股)
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數"
" ","4119  ","旭富  ","9000","130065","-121065",
" ","1609  ","大亞  ","10000","131000","-121000",
" ",="080648","群益IT","0","120000","-120000",
" ","2030  ","彰源  ","21000","141000","-120000",
" ","3443  ","創意  ","35000","154000","-119000",
" ","3703  ","欣陸  ","47100","166000","-118900",
" ","1301  ","台塑  ","4054000","4171040","-117040",
" ","2014  ","中鴻  ","0","117000","-117000",
" ","1722  ","台肥  ","889000","1004000","-115000",
" ","6504  ","南六  ","223000","338000","-115000",
" ","2208  ","台船  ","193000","307000","-114000",
" ","4935  ","F-茂林","26000","140000","-114000",
" ","1262  ","F-綠悅","71000","183000","-112000",
" ","2421  ","建準  ","57000","169000","-112000",
" ","2354  ","鴻準  ","1272000","1378516","-106516",
" ","2022  ","聚亨  ","76000","180000","-104000",
" ","9940  ","信義  ","83000","186000","-103000",
" ","9105  ","泰金寶","0","101000","-101000",
" ",="080082","元大HD","0","100000","-100000",
" ","1537  ","廣隆  ","87000","185354","-98354",
" ","2227  ","裕日車","82000","180000","-98000",
" ","2545  ","皇翔  ","54600","151000","-96400",
" ","6196  ","帆宣  ","42000","138000","-96000",
" ","8213  ","志超  ","298000","393000","-95000",
" ","3026  ","禾伸堂","53400","147413","-94013",
" ","1308  ","亞聚  ","117000","211000","-94000",
" ","2723  ","F-美食","82000","176000","-94000",
" ","2850  ","新產  ","17500","111000","-93500",
" ","2408  ","南亞科","263000","356219","-93219",
" ","2316  ","楠梓電","44000","135000","-91000",
" ","1232  ","大統益","65600","156000","-90400",
" ","8114  ","振樺電","126000","216290","-90290",
" ","1701  ","中化  ","3000","90000","-87000",
" ","1515  ","力山  ","5000","91000","-86000",
" ","5906  ","F-台南","0","86000","-86000",
" ","2206  ","三陽  ","207100","292000","-84900",
" ","3454  ","晶睿  ","12000","95000","-83000",
" ","8011  ","台通  ","70000","153000","-83000",
" ","1810  ","和成  ","6000","87000","-81000",
" ","8072  ","陞泰  ","60100","140000","-79900",
" ","2867  ","三商壽","143000","219000","-76000",
" ","3515  ","華擎  ","30000","106000","-76000",
" ","8249  ","菱光  ","11000","87000","-76000",
" ","2423  ","固緯  ","158000","233000","-75000",
" ","2027  ","大成鋼","148000","221000","-73000",
" ","2101  ","南港  ","57000","129000","-72000",
" ","2816  ","旺旺保","29000","101000","-72000",
" ","3010  ","華立  ","34000","106000","-72000",
" ","4306  ","炎洲  ","98000","168000","-70000",
" ","5907  ","F-大洋","46000","116000","-70000",
" ","2023  ","燁輝  ","31000","100000","-69000",
" ","2456  ","奇力新","32000","99000","-67000",
" ","2524  ","京城  ","46000","113000","-67000",
" ","1463  ","強盛  ","13000","79000","-66000",
" ","9905  ","大華  ","59000","125000","-66000",
" ","2461  ","光群雷","37000","102000","-65000",
" ","2380  ","虹光  ","19000","83000","-64000",
" ","2707  ","晶華  ","32000","96000","-64000",
" ","3257  ","虹冠電","30000","94000","-64000",
" ","1909  ","榮成  ","575900","639797","-63897",
" ","2605  ","新興  ","110000","173000","-63000",
" ","2836  ","高雄銀","0","63000","-63000",
" ",="01003T","新光R1","0","62000","-62000",
" ",="080393","群益GZ","0","62000","-62000",
" ","3380  ","明泰  ","150000","211000","-61000",
" ",="072509","統一E3","0","60000","-60000",
" ","2388  ","威盛  ","42000","101000","-59000",
" ","1321  ","大洋  ","31000","89000","-58000",
" ","1235  ","興泰  ","6000","63000","-57000",
" ","9927  ","泰銘  ","13000","69000","-56000",
" ","2597  ","潤弘  ","43100","99000","-55900",
" ","9941  ","裕融  ","76200","131000","-54800",
" ","6251  ","定穎  ","78000","131000","-53000",
" ","6702  ","復航  ","52000","105000","-53000",
" ","1467  ","南緯  ","4000","56000","-52000",
" ","2481  ","強茂  ","28000","80000","-52000",
" ","2704  ","國賓  ","35000","87000","-52000",
" ","1612  ","宏泰  ","3000","54000","-51000",
" ","2419  ","仲琦  ","235000","285000","-50000",
" "023  ","
